,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
2.5,61.9774263705,17695.9688106,1806.94120831,13502.3716925,2717.18731891
5.0,123.352029446,17694.3521579,1806.94204664,13502.3716833,2717.18731892
7.5,184.129673044,17690.8113214,1806.94498608,13502.3716318,2717.18731899
10.0,244.316163047,17684.9181756,1806.95180107,13502.3714668,2717.18731933
12.5,303.91724918,17676.3649751,1806.96461441,13502.3710719,2717.18732035
15.0,362.938626108,17664.9311406,1806.98571901,13502.3702716,2717.18732288
17.5,421.38593163,17650.4654353,1807.01767263,13502.3688379,2717.18732836
20.0,479.264749499,17632.8717703,1807.06313375,13502.36649,2717.18733881
22.5,536.580612021,17612.1000161,1807.12483718,13502.3628628,2717.18735701
25.0,593.338995079,17588.1367558,1807.20561812,13502.3575324,2717.1873866
27.5,649.545319848,17560.9977876,1807.30837116,13502.3500335,2717.18743294
30.0,705.20495284,17530.7235535,1807.43596551,13502.3398246,2717.18750272
32.5,760.323208107,17497.3741471,1807.59129759,13502.326272,2717.18760352
35.0,814.905359864,17461.0244429,1807.77724998,13502.3086872,2717.18774412
37.5,868.956624111,17421.7614556,1807.99668313,13502.2863375,2717.18793606
40.0,922.482162574,17379.6801874,1808.25241766,13502.258419,2717.18819339
42.5,975.487084436,17334.8828409,1808.54723454,13502.2240534,2717.18853146
45.0,1027.97644655,17287.4762242,1808.88387016,13502.1823057,2717.18896718
47.5,1079.95527046,17237.5693348,1809.26500229,13502.1321914,2717.18952038
50.0,1131.4285292,17185.2730619,1809.69324492,13502.0726652,2717.19021431
52.5,1182.40113845,17130.6973141,1810.17114716,13502.0026261,2717.19107441
55.0,1232.87796373,17073.9529907,1810.70122952,13501.9209169,2717.19212863
57.5,1282.86382039,17015.1487319,1811.28595817,13501.826328,2717.1934074
60.0,1332.36348005,16954.3916428,1811.92773875,13501.7176135,2717.19494386
62.5,1381.38168021,16891.7861465,1812.62885998,13501.5934805,2717.19677533
65.0,1429.92310389,16827.4339472,1813.39152938,13501.4525935,2717.19894227
67.5,1477.99238814,16761.4341748,1814.21787622,13501.2935567,2717.20148859
70.0,1525.59412497,16693.8823672,1815.11003841,13501.114929,2717.20446084
72.5,1572.73286176,16624.8710817,1816.07009292,13500.9152258,2717.20790844
75.0,1619.41310182,16554.4894469,1817.10005658,13500.6929507,2717.21188442
77.5,1665.63930476,16482.8233035,1818.20183987,13500.4465924,2717.21644557
80.0,1711.41588707,16409.9553127,1819.37728946,13500.1746103,2717.22165361
82.5,1756.7472225,16335.9644128,1820.62819006,13499.8754173,2717.22757397
85.0,1801.63764259,16260.9262622,1821.95631152,13499.5473474,2717.23427611
87.5,1846.09143712,16184.9136357,1823.36337137,13499.1887115,2717.24183075
90.0,1890.11285131,16107.9964945,1824.85103616,13498.7977942,2717.25031179
92.5,1933.70608753,16030.2418149,1826.4208886,13498.3729286,2717.25979656
95.0,1976.87531019,15951.7125363,1828.07445852,13497.9124218,2717.27036788
97.5,2019.62464332,15872.4694228,1829.81322418,13497.4145725,2717.28211584
100.0,2061.95817107,15792.5707503,1831.63864085,13496.877587,2717.2951342
102.5,2103.87993811,15712.0724399,1833.5521184,13496.2996446,2717.3095209
105.0,2145.39395007,15631.0271879,1835.55502626,13495.6788988,2717.32537099
107.5,2186.504174,15549.4850258,1837.64869927,13495.0135294,2717.34278352
110.0,2227.21453882,15467.4940353,1839.83442451,13494.3017297,2717.36186001
112.5,2267.52893569,15385.100131,1842.1134146,13493.5416775,2717.38271101
115.0,2307.45121854,15302.3471163,1844.48685783,13492.7315572,2717.405454
117.5,2346.98520424,15219.2764446,1846.95590109,13491.8695653,2717.4302102
120.0,2386.13466313,15135.9277966,1849.52164934,13490.9538191,2717.45710699
122.5,2424.90333063,15052.3390887,1852.18519391,13489.9823807,2717.48627836
125.0,2463.29491023,14968.5465657,1854.94760895,13488.9533369,2717.51785645
127.5,2501.31306959,14884.5845593,1857.80992718,13487.8647538,2717.55196373
130.0,2538.96144096,14800.4856118,1860.77315592,13486.7146752,2717.58873297
132.5,2576.2436215,14716.2808763,1863.83827686,13485.5012027,2717.62829842
135.0,2613.16317377,14632.0000282,1867.00620865,13484.2225079,2717.67079521
137.5,2649.72362606,14547.6713296,1870.27784344,13482.8767184,2717.71636337
140.0,2685.92847284,14463.3216512,1873.65405126,13481.4619779,2717.76517069
142.5,2721.78117509,14378.9765825,1877.13567217,13479.9764496,2717.8173815
145.0,2757.28516077,14294.6604824,1880.72352241,13478.4182453,2717.87316416
147.5,2792.44382406,14210.396529,1884.41841911,13476.785373,2717.9326942
150.0,2827.26051499,14126.2067794,1888.2211487,13475.0759014,2717.99615384
152.5,2861.73855681,14042.1122213,1892.13247685,13473.2878874,2718.06370183
155.0,2895.88124334,13958.1328104,1896.15315225,13471.4193733,2718.13549738
157.5,2929.69183655,13874.2875184,1900.28389154,13469.4684418,2718.21170898
160.0,2963.17356703,13790.5943746,1904.52536575,13467.4333021,2718.29250454
162.5,2996.32963427,13707.0705037,1908.87823873,13465.3121129,2718.3780508
165.0,3029.16320705,13623.7321608,1913.3431517,13463.1030536,2718.46853361
167.5,3061.67742383,13540.5947644,1917.92072331,13460.8043317,2718.56416867
170.0,3093.87539304,13457.6730604,1922.61156867,13458.4141405,2718.66515979
172.5,3125.76019352,13374.9811222,1927.41629095,13455.9305407,2718.77171845
175.0,3157.33487483,13292.5322327,1932.33547142,13453.3516617,2718.88406463
177.5,3188.60245452,13210.3389996,1937.36967766,13450.6756346,2719.00241807
180.0,3219.56590875,13128.4133832,1942.51946234,13447.900582,2719.1269575
182.5,3250.22819385,13046.7667212,1947.78534004,13445.0246466,2719.25788015
185.0,3280.59223896,12965.409752,1953.16781297,13442.0461233,2719.39538552
187.5,3310.66094489,12884.3526351,1958.66736968,13438.9632714,2719.5396703
190.0,3340.43718449,12803.60497,1964.2844812,13435.7743663,2719.69092949
192.5,3369.92380295,12723.175812,1970.01960121,13432.4777156,2719.8494048
195.0,3399.12361807,12643.0736864,1975.87316611,13429.0716416,2720.01534246
197.5,3428.03942066,12563.3065999,1981.84559526,13425.5543386,2720.18898338
200.0,3456.6739748,12483.8822179,1987.93731227,13421.9240523,2720.37057735
202.5,3485.03001819,12404.8083129,1994.14873366,13418.1790474,2720.56038384
205.0,3513.11026246,12326.091836,2000.48025307,13414.3175865,2720.75863953
207.5,3540.91738916,12247.7392782,2006.93225308,13410.33794,2720.96554852
210.0,3568.45404706,12169.7567313,2013.50510582,13406.238525,2721.18133931
212.5,3595.72286645,12092.1498959,2020.19917355,13402.0177563,2721.4062367
215.0,3622.72645248,12014.9240886,2027.01480934,13397.6740555,2721.64046072
217.5,3649.46738523,11938.0842465,2033.95234274,13393.2058794,2721.88423989
220.0,3675.9482199,11861.6349308,2041.0120591,13388.6117162,2722.13786284
222.5,3702.17148718,11785.580328,2048.19425434,13383.8899541,2722.40159837
225.0,3728.1396935,11709.9242496,2055.49921251,13379.0390016,2722.67571927
227.5,3753.85532132,11634.6701301,2062.92720441,13374.0573053,2722.96050798
230.0,3779.32082942,11559.8210853,2070.4784877,13368.9433158,2723.25625441
232.5,3804.53865322,11485.3813593,2078.15330693,13363.695488,2723.56319406
235.0,3829.51120499,11411.3545309,2085.95189481,13358.3123967,2723.88156614
237.5,3854.24086644,11337.7434184,2093.8744822,13352.792656,2724.21162098
240.0,3878.72999312,11264.5505877,2101.92128433,13347.1348765,2724.55360345
242.5,3902.98092429,11191.778355,2110.09250334,13341.3377053,2724.90775198
245.0,3926.99597661,11119.4287883,2118.38833036,13335.3998281,2725.27434024
247.5,3950.77744432,11047.5037077,2126.8089457,13329.3198733,2725.65368081
250.0,3974.32759953,10976.0046844,2135.35451909,13323.0964531,2726.04606339
252.5,3997.64869249,10904.9331813,2144.02520987,13316.7282357,2726.45178677
255.0,4020.74295179,10834.2911184,2152.82116535,13310.2138991,2726.87115984
257.5,4043.61258467,10764.0798379,2161.74252228,13303.5521297,2727.30448438
260.0,4066.25977725,10694.3004303,2170.78940823,13296.7416958,2727.75200015
262.5,4088.68669475,10624.9538155,2179.96194085,13289.7814474,2728.21397498
265.0,4110.89548164,10556.040745,2189.26022804,13282.6702212,2728.69067565
267.5,4132.88825509,10487.5618033,2198.68436813,13275.406892,2729.18236231
270.0,4154.66711318,10419.5174082,2208.23445005,13267.9903742,2729.68929169
272.5,4176.23413651,10351.9078111,2217.91054542,13260.4195732,2730.21178459
275.0,4197.59138564,10284.7332916,2227.71269887,13252.6933581,2730.75015769
277.5,4218.74090129,10217.9942308,2237.64095571,13244.8106633,2731.30472063
280.0,4239.68470457,10151.6906595,2247.69535002,13236.7704424,2731.87579225
282.5,4260.42479722,10085.8224889,2257.87590398,13228.5716663,2732.46370152
285.0,4280.96316183,10020.3895179,2268.18262775,13220.2133224,2733.06874043
287.5,4301.30176209,9955.39143457,2278.61551947,13211.6944136,2733.69116884
290.0,4321.44254297,9890.82781859,2289.1745673,13203.0139573,2734.33127172
292.5,4341.38743103,9826.69814221,2299.85976591,13194.1710886,2734.98932768
295.0,4361.13833357,9763.00177454,2310.67109265,13185.1650248,2735.66560787
297.5,4380.6971301,9699.73813897,2321.60851221,13175.9949463,2736.36039547
300.0,4400.06568675,9636.90656939,2332.6719797,13166.6600711,2737.0740372
302.5,4419.24585362,9574.50625754,2343.86144086,13157.1596549,2737.80685287
305.0,4438.23946294,9512.53631873,2355.17683216,13147.4929931,2738.55916655
307.5,4457.0483292,9450.99579394,2366.61808073,13137.6594216,2739.33131124
310.0,4475.67424939,9389.88365187,2378.18508201,13127.6583169,2740.12362466
312.5,4494.11900321,9329.19879049,2389.87771652,13117.4889527,2740.93638284
315.0,4512.38435321,9268.94003853,2401.69586299,13107.1506164,2741.76987137
317.5,4530.47204506,9209.10616602,2413.63938734,13096.642686,2742.62438338
320.0,4548.38380772,9149.69594278,2425.70814255,13085.9645616,2743.50020508
322.5,4566.12135362,9090.70805073,2437.90196841,13075.1156647,2744.3976148
325.0,4583.68637762,9032.1411066,2450.22069142,13064.0954377,2745.31693133
327.5,4601.08055356,8973.99367272,2462.66413834,13052.9033429,2746.25850086
330.0,4618.30554266,8916.26425817,2475.23215043,13041.5388689,2747.22264895
332.5,4635.36299058,8858.95131973,2487.92453972,13030.001695,2748.20970869
335.0,4652.25452719,8802.05326265,2500.74110843,13018.291511,2749.22002159
337.5,4668.98176667,8745.56844114,2513.68165007,13006.4079921,2750.25391726
340.0,4685.54630775,8689.49520996,2526.74594964,12994.3508549,2751.3116692
342.5,4701.94973386,8633.83197563,2539.93378386,12982.1198591,2752.393578
345.0,4718.19361332,8578.57703762,2553.24491596,12969.7148079,2753.49994075
347.5,4734.27949953,8523.72866245,2566.67905836,12957.1355498,2754.63104738
350.0,4750.20893116,8469.28508893,2580.23592825,12944.3819628,2755.78718547
352.5,4765.98343231,8415.24453011,2593.91523576,12931.4537585,2756.96870068
355.0,4781.60450896,8361.60517523,2607.71667725,12918.3507428,2758.17592795
357.5,4797.07364692,8308.36519148,2621.63993502,12905.0727909,2759.40919729
360.0,4812.39232353,8255.52272548,2635.68467709,12891.6198,2760.66884561
362.5,4827.56200201,8203.07585255,2649.85055734,12877.9916882,2761.95521759
365.0,4842.58413138,8151.02261524,2664.13725484,12864.1883935,2763.26865559
367.5,4857.46014668,8099.36105739,2678.54444213,12850.2098728,2764.60948643
370.0,4872.19146904,8048.08919746,2693.07176533,12836.0561312,2765.97802305
372.5,4886.77950592,7997.20502862,2707.71886217,12821.7274124,2767.37456163
375.0,4901.22565122,7946.70651863,2722.48536228,12807.2239012,2768.79938162
377.5,4915.53128545,7896.59160964,2737.37088748,12792.5457924,2770.25274572
380.0,4929.69777587,7846.85821782,2752.37505207,12777.693325,2771.73489988
382.5,4943.7264767,7797.5042467,2767.49744105,12762.6667831,2773.24607332
385.0,4957.61872692,7748.52771286,2782.73759108,12747.4664973,2774.78663441
387.5,4971.3758519,7699.92657136,2798.09505529,12732.0928459,2776.35702164
390.0,4984.99916601,7651.69874463,2813.56937373,12716.5462016,2777.95754813
392.5,4998.48997096,7603.84214995,2829.16007199,12700.8267399,2779.58852573
395.0,5011.849556,7556.35470108,2844.86666084,12684.9347967,2781.25026506
397.5,5025.07919801,7509.2343099,2860.68863592,12668.8707518,2782.94307551
400.0,5038.18016168,7462.478888,2876.62548587,12652.6350042,2784.6672652
402.5,5051.15369963,7416.08634839,2892.67674451,12636.2279704,2786.42314104
405.0,5064.00105259,7370.05456846,2908.8419109,12619.6500836,2788.21101644
407.5,5076.72344953,7324.38132435,2925.12046779,12602.9017923,2790.03121087
410.0,5089.3221078,7279.06445112,2941.51189058,12585.9836385,2791.8840349
412.5,5101.79823308,7234.10177761,2958.01564767,12568.8964027,2793.76979855
415.0,5114.15301239,7189.49112024,2974.63120086,12551.6407566,2795.68881141
417.5,5126.38762285,7145.23028226,2991.35800488,12534.217402,2797.64138256
420.0,5138.50323297,7101.31705271,3008.19545521,12516.6270845,2799.62782065
422.5,5150.50099993,7057.7492054,3025.14293292,12498.8705948,2801.64843382
425.0,5162.38206963,7014.52449773,3042.19982736,12480.9487696,2803.70352606
427.5,5174.1475769,6971.64079731,3059.36551359,12462.8624932,2805.7933955
430.0,5185.79864556,6929.09602517,3076.63935213,12444.6125726,2807.91834452
432.5,5197.33638858,6886.88802308,3094.02068854,12426.1996451,2810.07867477
435.0,5208.76190816,6845.01464162,3111.50885308,12407.624537,2812.27468692
437.5,5220.07629591,6803.47374208,3129.10319134,12388.8880949,2814.50668079
440.0,5231.28063294,6762.26319834,3146.80308625,12369.9911783,2816.77495522
442.5,5242.37598997,6721.38089895,3164.60787382,12350.9346585,2819.07980819
445.0,5253.36342749,6680.82474914,3182.51688254,12331.7194163,2821.42153796
447.5,5264.24399584,6640.59266152,3200.52943506,12312.3463413,2823.80044455
450.0,5275.01873539,6600.6823951,3218.64484869,12292.8164965,2826.21682503
452.5,5285.6886766,6561.09175823,3236.86243577,12273.131114,2828.67097561
455.0,5296.25484018,6521.81859834,3255.18149339,12253.2913056,2831.16319177
457.5,5306.71823721,6482.86075958,3273.60124279,12233.2982217,2833.69376827
460.0,5317.07986927,6444.21608159,3292.12092498,12213.1530538,2836.26299912
462.5,5327.34072289,6405.88239827,3310.73977703,12192.8570354,2838.87117763
465.0,5337.50176981,6367.8575364,3329.45702228,12172.4114434,2841.51859265
467.5,5347.56398021,6330.13931412,3348.27187004,12151.8175986,2844.20552116
470.0,5357.52831504,6292.72557919,3367.18351519,12131.0766292,2846.93224696
472.5,5367.39572602,6255.61431605,3386.19113915,12110.1896059,2849.69905319
475.0,5377.16715572,6218.80342961,3405.29397657,12089.1577556,2852.50622158
477.5,5386.84353771,6182.29082317,3424.49125505,12067.9823114,2855.35403239
480.0,5396.42579665,6146.07441071,3443.78217073,12046.6645113,2858.24276449
482.5,5405.91484837,6110.15211788,3463.16591544,12025.205596,2861.17269528
485.0,5415.31160004,6074.52188313,3482.64167727,12003.606807,2864.14410163
487.5,5424.61695024,6039.18165882,3502.20864107,11981.8693899,2867.15726274
490.0,5433.83178908,6004.12941235,3521.86598901,11959.9948719,2870.21245414
492.5,5442.95699829,5969.36308047,3541.61286464,11937.9848062,2873.30994976
495.0,5451.99345138,5934.88057323,3561.44835228,11915.8406614,2876.45002231
497.5,5460.94201369,5900.67984988,3581.37156916,11893.5639411,2879.63294328
500.0,5469.80354256,5866.75887657,3601.38162143,11871.1561849,2882.85898298
502.5,5478.57888737,5833.11562595,3621.47760267,11848.6189696,2886.12841047
505.0,5487.26888973,5799.74807696,3641.65859361,11825.9539105,2889.4414913
507.5,5495.87438351,5766.65421456,3661.92366168,11803.1626462,2892.79847607
510.0,5504.39619128,5733.83202937,3682.27187471,11780.2465147,2896.19962118
512.5,5512.83510927,5701.27951894,3702.70237184,11757.2069322,2899.645183
515.0,5521.19194042,5668.99472595,3723.21424873,11734.0454109,2903.1354159
517.5,5529.46748279,5636.97569609,3743.80658819,11710.76346,2906.67057227
520.0,5537.66252683,5605.22047354,3764.4784712,11687.3625835,2910.25090248
522.5,5545.7778554,5573.72711348,3785.22897749,11663.8442779,2913.87665493
525.0,5553.81424392,5542.49368246,3806.05718618,11640.2100301,2917.54807689
527.5,5561.77246043,5511.51825868,3826.96217459,11616.4613495,2921.26542096
530.0,5569.65326568,5480.79893234,3847.94294495,11592.6000999,2925.02893465
532.5,5577.45741327,5450.333806,3868.9984944,11568.6280346,2928.8388625
535.0,5585.18564967,5420.12098681,3890.12783761,11544.5468622,2932.69544745
537.5,5592.83871438,5390.15855369,3911.32997875,11520.3583204,2936.5989309
540.0,5600.41734,5360.44461479,3932.60391111,11496.0641771,2940.54955263
542.5,5607.92225228,5330.97728969,3953.94861677,11471.6662315,2944.54755087
545.0,5615.3541703,5301.75470455,3975.36306619,11447.1663159,2948.59316099
547.5,5622.71380649,5272.77499169,3996.84626157,11422.5662348,2952.68660045
550.0,5630.00186674,5244.03628907,4018.39725578,11397.8674395,2956.8280905
552.5,5637.21905053,5215.53673971,4040.01505085,11373.0715634,2961.01785387
555.0,5644.36605097,5187.27449113,4061.69864814,11348.1802799,2965.25611076
557.5,5651.44355446,5159.24773112,4083.44704992,11323.1952492,2969.54307889
560.0,5658.45222261,5131.45470169,4105.25926005,11298.1181162,2973.87897346
562.5,5665.39271594,5103.89361614,4127.13428467,11272.9505079,2978.26400718
565.0,5672.26569721,5076.56270111,4149.07111676,11247.6940311,2982.69839067
567.5,5679.0718228,5049.46019814,4171.06866262,11222.3503657,2987.18234171
570.0,5685.81174286,5022.5843643,4193.12586517,11196.9215391,2991.7160735
572.5,5692.48610131,4995.93347307,4215.24166939,11171.409376,2996.29979427
575.0,5699.09553597,4969.50581507,4237.41501177,11145.8156903,3000.9337103
577.5,5705.64067863,4943.29969731,4259.64481995,11120.142317,3005.61802595
580.0,5712.12215511,4917.31336492,4281.93001233,11094.391114,3010.35294363
582.5,5718.54058536,4891.54507443,4304.2695001,11068.563963,3015.1386638
585.0,5724.89658351,4865.99312044,4326.66226891,11042.6627711,3019.9753846
587.5,5731.19075798,4840.65580346,4349.10729784,11016.6893509,3024.86328618
590.0,5737.42371154,4815.53142901,4371.6035395,10990.645247,3029.80254788
592.5,5743.5960414,4790.61830684,4394.14994956,10964.5322,3034.79335262
595.0,5749.70833926,4765.91474992,4416.74548751,10938.3519502,3039.83588041
597.5,5755.76119143,4741.41907355,4439.38911737,10912.1062223,3044.93030829
600.0,5761.75517888,4717.12960974,4462.07980835,10885.7967234,3050.07681038
602.5,5767.6908773,4693.04479941,4484.81648753,10859.4251412,3055.27555784
605.0,5773.56885723,4669.16304798,4507.59802556,10832.9931418,3060.52671898
607.5,5779.38967521,4645.48276066,4530.42333963,10806.5025025,3065.83046849
610.0,5785.15387293,4622.00235861,4553.29134171,10779.9551736,3071.18697921
612.5,5790.86200051,4598.72027978,4576.20093738,10753.3529464,3076.59641672
615.0,5796.51460306,4575.63497993,4599.15102553,10726.6976161,3082.05894428
617.5,5802.11222051,4552.74493358,4622.14049793,10699.9909855,3087.57472285
620.0,5807.65538764,4530.04863511,4645.16825712,10673.2348666,3093.1439111
622.5,5813.14463415,4507.54455427,4668.23329249,10646.4310806,3098.76666537
625.0,5818.58048472,4485.23109259,4691.3345497,10619.5814593,3104.44313972
627.5,5823.96345908,4463.10672498,4714.47096966,10592.6876913,3110.17347321
630.0,5829.29407209,4441.16993508,4737.64149916,10565.7513557,3115.95779781
632.5,5834.57283377,4419.41921158,4760.84509156,10538.7741432,3121.79625118
635.0,5839.80024941,4397.85304729,4784.08070751,10511.7577259,3127.68896774
637.5,5844.9768196,4376.46993813,4807.34731274,10484.7037551,3133.63607857
640.0,5850.10304028,4355.26838203,4830.64379258,10457.61386,3139.63771149
642.5,5855.17940288,4334.24687836,4853.96904102,10430.4896461,3145.69399104
645.0,5860.20639428,4313.40400414,4877.32197717,10403.3326948,3151.80503845
647.5,5865.18449698,4292.73835776,4900.70151629,10376.1447789,3157.97097849
650.0,5870.11418908,4272.24851027,4924.10656936,10348.9277111,3164.1919378
652.5,5874.9959444,4251.93304529,4947.5360427,10321.68319,3170.46803379
655.0,5879.83022989,4231.79055952,4970.98883757,10294.412919,3176.79938115
657.5,5884.61749369,4211.81966335,4994.46390121,10267.1186079,3183.18609195
660.0,5889.3581904,4192.01898143,5017.96023634,10239.8019734,3189.62827557
662.5,5894.05277277,4172.38715336,5041.47680013,10212.4647406,3196.12603875
665.0,5898.70168916,4152.92282856,5065.01255693,10185.1086372,3202.67948556
667.5,5903.30538368,4133.62461478,5088.56647946,10157.7351422,3209.28870957
670.0,5907.86429624,4114.49115092,5112.1375495,10130.3457385,3215.95379208
672.5,5912.37886253,4095.52109529,5135.72475864,10102.9419807,3222.67482073
675.0,5916.84951415,4076.7131147,5159.32708876,10075.5253988,3229.45187986
677.5,5921.27667865,4058.06588419,5182.94343637,10048.0974964,3236.28505024
680.0,5925.66077955,4039.57808671,5206.57274756,10020.6597491,3243.17440913
682.5,5930.00223641,4021.24841277,5230.21397621,9993.21360279,3250.12003024
685.0,5934.30146491,4003.07556014,5253.86607422,9965.76048982,3257.12198375
687.5,5938.55887686,3985.05824304,5277.52799107,9938.30210289,3264.18033633
690.0,5942.77488029,3967.1952083,5301.19867342,9910.84005333,3271.29515109
692.5,5946.94987948,3949.4851958,5324.8770682,9883.37587932,3278.46648762
695.0,5951.08427502,3931.92695456,5348.56220868,9855.9111212,3285.69440198
697.5,5955.17846388,3914.51924423,5372.25312191,9828.44732257,3292.978947
700.0,5959.23283943,3897.2608352,5395.94881685,9800.9860315,3300.3201864
702.5,5963.2477913,3880.15050881,5419.64831228,9773.52880168,3307.7181777
705.0,5967.22369369,3863.18705746,5443.35063742,9746.07716041,3315.17296884
707.5,5971.16091996,3846.36928483,5467.05483267,9718.63234503,3322.68460469
710.0,5975.05984582,3829.69598367,5490.75995028,9691.19569056,3330.25312707
712.5,5978.92084336,3813.16594593,5514.46500013,9663.76855676,3337.87857473
715.0,5982.74428112,3796.77798548,5538.16894635,9636.35227504,3345.56098335
717.5,5986.53052407,3780.5309229,5561.87080587,9608.94814694,3353.30038555
720.0,5990.27993371,3764.42358494,5585.56959602,9581.55744241,3361.0968109
722.5,5993.99286809,3748.4548042,5609.26433364,9554.18139825,3368.95028589
725.0,5997.66968185,3732.62341861,5632.95403474,9526.82127467,3376.86083395
727.5,6001.3107263,3716.92827099,5656.63771399,9499.47860886,3384.82847545
730.0,6004.9163494,3701.36821194,5680.31440539,9472.15477259,3392.85322333
732.5,6008.48689586,3685.9421474,5703.98323384,9444.85110214,3400.93506132
735.0,6012.02270716,3670.64897882,5727.64328389,9417.56893532,3409.07398729
737.5,6015.52412159,3655.48760653,5751.29364251,9390.30961285,3417.26999976
740.0,6018.99147431,3640.45694223,5774.93340814,9363.07447969,3425.52309353
742.5,6022.42509738,3625.55590955,5798.56169126,9335.86488645,3433.8332597
745.0,6025.8253198,3610.78344444,5822.17761512,9308.68210451,3442.20048564
747.5,6029.19246758,3596.13849574,5845.78031223,9281.52712358,3450.62475499
750.0,6032.52686375,3581.62002574,5869.36883706,9254.40108832,3459.10604771
752.5,6035.82882554,3567.22699345,5892.94226394,9227.30513485,3467.64434001
755.0,6039.09866365,3552.9583086,5916.49969489,9200.24036899,3476.23960439
757.5,6042.33669058,3538.81292454,5940.04023312,9173.20786466,3484.89180964
760.0,6045.54321609,3524.78980445,5963.56298255,9146.20866228,3493.60092083
762.5,6048.718547,3510.8879159,5987.06704739,9119.24376721,3502.36690228
765.0,6051.86298732,3497.10623018,6010.55153165,9092.31427491,3511.18971881
767.5,6054.97683821,3483.44372165,6034.01559349,9065.42150796,3520.06932676
770.0,6058.06039808,3469.89936702,6057.45844293,9038.56659164,3529.00567872
772.5,6061.11396261,3456.47214456,6080.87925235,9011.75064229,3537.99872377
775.0,6064.13782476,3443.16107919,6104.27720589,8984.97477825,3547.04840739
777.5,6067.13227485,3429.96523843,6127.65150025,8958.24012143,3556.15467151
780.0,6070.09760059,3416.88365949,6151.0013453,8931.54779872,3565.31745454
782.5,6073.03408709,3403.91539063,6174.3259647,8904.89894357,3574.53669128
785.0,6075.94201696,3391.05949199,6197.62457402,8878.29453343,3583.81231302
787.5,6078.82167026,3378.31503616,6220.89631194,8851.73535377,3593.14424747
790.0,6081.67332464,3365.68110887,6244.14037143,8825.22234292,3602.53241878
792.5,6084.49725528,3353.15680974,6267.35595545,8798.75641325,3611.97674751
795.0,6087.29373503,3340.74124992,6290.5422689,8772.33844742,3621.47714704
797.5,6090.06303436,3328.4334787,6313.69851817,8745.96929686,3631.03352744
800.0,6092.80541897,3316.23256482,6336.82391066,8719.64978032,3640.64579717
802.5,6095.52113674,3304.13760474,6359.9176588,8693.38068242,3650.31386099
805.0,6098.2104441,3292.14769865,6382.9790628,8667.16294405,3660.03762005
807.5,6100.87359779,3280.2619498,6406.007415,8640.9975857,3669.8169718
810.0,6103.51085204,3268.47946377,6429.00199646,8614.88548429,3679.65181004
812.5,6106.12245859,3256.79934768,6451.96210085,8588.82751369,3689.54202492
815.0,6108.7086667,3245.22070939,6474.88703504,8562.82454601,3699.48750293
817.5,6111.26972322,3233.74267087,6497.77611967,8536.87745272,3709.48812688
820.0,6113.80587256,3222.36442495,6520.62868973,8510.9871059,3719.54377593
822.5,6116.31735678,3211.08513483,6543.44403861,8485.15437764,3729.65432559
825.0,6118.80441555,3199.90396494,6566.22142651,8459.3799633,3739.81964793
827.5,6121.26728624,3188.82008889,6588.96016402,8433.66452508,3750.0396131
830.0,6123.7062039,3177.83268984,6611.65956466,8408.00878947,3760.31408659
832.5,6126.12140134,3166.94096099,6634.31894428,8382.41346081,3770.64292989
835.0,6128.51310908,3156.14410607,6656.93762064,8356.87922042,3781.02600086
837.5,6130.88155544,3145.44133983,6679.51491287,8331.40672572,3791.46315379
840.0,6133.22696657,3134.83186143,6702.05016336,8305.99660942,3801.9542393
